id,desc
XIMOPUIG,Ximo Puig
KINGSLEAGUE,Kings League
CORREDORMED,Corredor Mediterrani
DIAINFANCIA,Dia Mundial de la Infància
TV3GOYA,TV3 als Goya
GAUDI,Premis Gaudí 
MIKINUNEZ,Miki Nuñez
AUTOMOCIO,Automoció
PUYAL,Joaquim Maria Puyal
CCLIMATICA,Crisi climàtica
GANDHI,Mahatma Gandhi 
GIBRALTAR,Gibraltar
DIARADIO,Dia Mundial de la Ràdio
NOUNOVEMBRE,9N
CASNEGREIRA,CAS NEGREIRA
PUA_MANBETA,Manualitats Beta
JLAPORTA,Laporta
CLINIC,Hospital Clínic
CARLOSCUEVAS,Carlos Cuevas
SVB,Silicon Valley Bank
MELONI,Giorgia Meloni
SUMAR,Sumar
CANTABRIA,Cantàbria 
VALENTS,Valents
SBUSQUETS,Busquets
ELECCIONS28A,Eleccions 28A
CATNORD,Catalunya Nord
SERBIA,Sèrbia
ASSETJAMENT,Assetjament
PUA_TITO,Titó
VINICIUS,Vinícius
SCC,Societat Civil Catalana
AUTONOMIQUES,Eleccions autonòmiques 2023
MUNDIALFEM,Mundial Femení
EINDHOVEN,CHAMPIONS EINDHOVEN
ANNSIMO,Anna Simó
CAMBRAY,Josep Gonzàlez-Cambray
JOAOFELIX,Joao Félix
FILIPINES,Filipines
PUTAGSSUPER3,SX3
DAMIACALVET,Damià Calvet
CROACIA,Croàcia
SENAT,Senat
EXTREMADURA,Extremadura
GAMELAB,Gamelab
EDUCASEXUAL,Educació sexual
ESTERCAPELLA,Ester Capella
MIREIAVEHI,Mireia Vehí
VCOPAAMERICA,Vela - Copa Amèrica
PNB,PNB
MAZON,Carlos Mazón
MARTIPOL,Miquel Martí i Pol
AUTO26M,Eleccions autonòmiques 26M
JAVIERMILEI,Javier Milei 
EQUADOR,Equador
ARMENGOL,Francina Armengol
TAIWAN,Taiwan
AITANABONMAT,Aitana Bonmatí
LUISRUBIALES,Luis Rubiales
AMNISTIA,Amnistia
HAMASISRAEL,Guerra a Gaza
MARCGUIU,Marc Guiu
HAMAS,Hamas
SINNFEIN,Sinn Féin 
ARMILLESGROG,Armilles Grogues
LECTURAFACIL,Lectura Fàcil
ANNAERRA,Anna Erra
PAMIES,Teresa Pàmies
TAPIES,Antoni Tàpies
DINAMARCA,Dinamarca
PERUCHO,Joan Perucho
ELECCIONSUE,Eleccions europees 2024
BB_CALCOTS,Receptes amb calçots
PCUBARSI,Pau Cubarsí
ESTELLES,Vicent Andrés Estellés
MASCORT,David Mascort
EUSKGALIC,Eleccions a Euskadi i Galícia 
JMFLOTATS,Josep Maria Flotats
CASKOLDO,Cas Koldo
CAT55888,Incendi València
PRESONS,Presons
EUFORIA,Eufòria
FARC,FARC
PUA_POTPETIT,Les manualitats d'El món del Pot Petit
RECOMANAJORD,Recomanacions Sant Jordi
MBAPPE,kylian Mbappé
ACATALANA,Aliança Catalana
MON3CAT,Món 3Cat
HFLICK,Hansi Flick
EUROCOPA2024,Eurocopa 2024
LLENGUABLAVA,Llengua blava 
EUAELECCIONS,Eleccions Estats Units 2024
PUA_EXCURSX3,Excursions per fer en família
ALGUER,Alguer
ORRIOLS,Sílvia Orriols
EXPLICATIUS,Explicatius
STARMER,Keir Starmer
LIBAN,Líban
HEZBOLA,Hezbollah
VAR,VAR
POLICIALJUDI,Policial i judicial
FEMENISMEGEN,Feminisme i gènere
SOCIETAT,Societat
MEDICLIMA,Medi ambient i crisi climàtica
CULTURA,Cultura
DESIGUPOBRE,Desigualtat i pobresa
CIENCIATECNO,Ciència i tecnologia
ZENIT,Zenit
POLITICA,Política
INTERNACIONA,Internacional
UNIVERS3CAT,Univers 3Cat
VERIFICACIO,3CatInfo Verifica
LATARDACR,La tarda de Catalunya Ràdio
FEINA,Feina
ARANES,Aranès
ECOIFINANCES,Economia i finances
CRIA,Criança
ARRAN,Arran
METEOCURIOS,Curiositats meteorològiques
ELFORASTER,El foraster
