id,desc
OMICRON,Òmicron
CEOE,CEOE
AGTRIBUTARIA,Agència Tributària 
ERTO,ERTO
THERESAMAY,Theresa May
INFANCIA,Infància 
PORTUGAL,Portugal
CUINANADAL,Receptes de Nadal
CALENDARI,Calendari laboral
E360,Esports360
IMMERSIOLING,Immersió lingüística
KAZAKHSTAN,Kazakhstan 
ALEXIAPUTELL,Alèxia Putellas
SASSOLI,David Sassoli
INTERPOL,Interpol
CARLASIMON,Carla Simón
ASIA,Àsia
SETEMBRE,20S
RBOFILL,Ricardo Bofill
AI,Amnistia Internacional
MALI,Mali
QUERALTCASTE,Queralt Castellet
ALBERTRIVERA,Albert Rivera
PAURIBA,Pau Riba
JJOOCONSULTA,Jocs Olímpics Hivern 
ZELENSKI,Volodímir Zelenski
DOMINICANA,República Dominicana
HAITI,Haití
OTAN,OTAN
FEIJOO,Alberto Núñez Feijóo
MIDCAT,Midcat
RUFIAN,Gabriel Rufián
TRANSPORT,Transport de mercaderies
CONSELLEUROP,Consell Europeu
GASTRONOMIA,Gastronomia 
CUCAGAMARRA,Cuca Gamarra
IRPF,IRPF
DEPOBLAMENT,Despoblament 
ELECFRAN,Eleccions França 2022
FP,Formació Professional 
CATALANGATE,Catalangate
SUECIA,Suècia 
BOBS,Barcelona Open
CGT,CGT
DAUSA,Joan Dausà
JOSEPBOU,Josep Bou
IRLANDANORD,Irlanda del Nord
MANUELVALLS,Manuel Valls
PEGASUS,Pegasus
CONGRES,Congrés dels Diputats
MESPAIS,Més País
DEPEDROLO,Manuel de Pedrolo
MACAPMANY,Maria Aurèlia Capmany
MELILLA,Melilla
IRLANDA,Irlanda
ERNMARAGALL,Ernest Maragall
VEROLAMICO,Verola del mico
CONSELL21D,21D
ELE28M2023,Eleccions municipals 2023
TIKTOK,TikTok
AP7,AP-7
ARAGO,Aragó
GRECIA,Grècia
BELGICA,Bèlgica
VTC,VTC
SUISSA,Suïssa
VIATGEGASTRO,Viatges i gastronomia
TJUE,TJUE
YOLANDADIAZ,Yolanda Díaz
DEBATCONGRES,Debat Política General Congrés
LEWANDOWSKI,Lewandowski
HONGRIA,Hongria
ORBAN,Viktor Orbán
OCINOCTURN,Oci nocturn 
NIGERIA,Nigèria
MART,Mart
LIBERDROLA,Lliga Iberdrola
ANIVERS17A,Aniversari atemptats 17A 
LAVUELTA,La Vuelta
BALANCES,Balances fiscals
DE7A9ANYS,De 7 a 9 anys
DE10A14ANYS,De 10 a 14 anys
ANTARTIDA,Antàrtida
LAMINEYAMAL,Lamine Yamal
TABARNIA,Tabarnia
LIZTRUSS,Liz Truss
TDAH,TDAH
COREASUD,Corea del Sud
CRISIGOVERN,Crisi de govern
FISCALIAGEN,Fiscalia General de l'Estat
CIBERDELICTE,Ciberdelicte
PUA_ESTRESX3,Estrenes SX3
MARINELEPEN,Marine Le Pen
DONESINSPIRA,Dones inspiradores
TWITCH,Twitch
AMARQUEZ,Àlex Márquez
MUNI26M,Eleccions municipals 26M
PAISOSBAIXOS,Països Baixos 
MANEL,Manel
RISHISUNAK,Rishi Sunak
LULADASILVA,Lula da Silva
LUTHERKING,Martin Luther King 
PUA_MONMIC,El món del Mic
OPERA,Òpera
XIMOPUIG,Ximo Puig
KINGSLEAGUE,Kings League
ESTILDEVIDA,Estils de vida
CORREDORMED,Corredor Mediterrani
DIAINFANCIA,Dia Mundial de la Infància
GAUDI,Premis Gaudí 
TV3GOYA,TV3 als Goya
MIKINUNEZ,Miki Nuñez
AUTOMOCIO,Automoció
PUYAL,Joaquim Maria Puyal
CCLIMATICA,Crisi climàtica
GANDHI,Mahatma Gandhi 
GIBRALTAR,Gibraltar
DIARADIO,Dia Mundial de la Ràdio
NOUNOVEMBRE,9N
CASNEGREIRA,CAS NEGREIRA
PUA_MANBETA,Manualitats Beta
JLAPORTA,Laporta
PUAGR_ACTFAM,Activitats en família
CLINIC,Hospital Clínic
CARLOSCUEVAS,Carlos Cuevas
SVB,Silicon Valley Bank
MELONI,Giorgia Meloni
SUMAR,Sumar
CANTABRIA,Cantàbria 
SBUSQUETS,Busquets
ELECCIONS28A,Eleccions 28A
VALENTS,Valents
CATNORD,Catalunya Nord
SERBIA,Sèrbia
ASSETJAMENT,Assetjament
GENERALS23J,Eleccions Generals 2023 - 23J
PUA_TITO,Titó
VINICIUS,Vinícius
AUTONOMIQUES,Eleccions autonòmiques 2023
MUNDIALFEM,Mundial Femení
EINDHOVEN,CHAMPIONS EINDHOVEN
ANNSIMO,Anna Simó
CAMBRAY,Josep Gonzàlez-Cambray
JOAOFELIX,Joao Félix
FILIPINES,Filipines
CROACIA,Croàcia
DAMIACALVET,Damià Calvet
PUTAGSSUPER3,SX3
SENAT,Senat
SCC,Societat Civil Catalana
EXTREMADURA,Extremadura
GAMELAB,Gamelab
EDUCASEXUAL,Educació sexual
ESTERCAPELLA,Ester Capella
MIREIAVEHI,Mireia Vehí
VCOPAAMERICA,Vela - Copa Amèrica
PNB,PNB
MAZON,Carlos Mazón
MARTIPOL,Miquel Martí i Pol
AUTO26M,Eleccions autonòmiques 26M
JAVIERMILEI,Javier Milei 
EQUADOR,Equador
ARMENGOL,Francina Armengol
TAIWAN,Taiwan
AITANABONMAT,Aitana Bonmatí
LUISRUBIALES,Luis Rubiales
AMNISTIA,Amnistia
VERIFICACIO,Verificació
HAMASISRAEL,Guerra a Gaza
MARCGUIU,Marc Guiu
HAMAS,Hamas
SINNFEIN,Sinn Féin 
BB_SOPES,Sopes d'hivern
ANNAERRA,Anna Erra
LECTURAFACIL,Lectura Fàcil
PAMIES,Teresa Pàmies
TAPIES,Antoni Tàpies
DINAMARCA,Dinamarca
ARMILLESGROG,Armilles Grogues
PERUCHO,Joan Perucho
BB_CALCOTS,Receptes amb calçots
PCUBARSI,Pau Cubarsí
PERSMEDIA,Personatges mediàtics
ESTELLES,Vicent Andrés Estellés
MASCORT,David Mascort
EUSKGALIC,Eleccions a Euskadi i Galícia 
SABATER,Carles Sabater
CASKOLDO,Cas Koldo
CAT55888,Incendi València
ELECTORAL,Eleccions Parlament Catalunya 2024
PRESONS,Presons
EUFORIA,Eufòria
PUA_POTPETIT,Les manualitats d'El món del Pot Petit
RECOMANAJORD,Recomanacions Sant Jordi
MBAPPE,kylian Mbappé
FARC,FARC
ACATALANA,Aliança Catalana
JMFLOTATS,Josep Maria Flotats
MON3CAT,Món 3Cat
ELECCIONSUE,Eleccions europees 2024
HFLICK,Hansi Flick
PODEM,Podem
EUROCOPA2024,Eurocopa 2024
LLENGUABLAVA,Llengua blava 
EUAELECCIONS,Eleccions Estats Units 2024
PUA_EXCURSX3,Excursions per fer en família
ALGUER,Alguer
ORRIOLS,Sílvia Orriols
STARMER,Keir Starmer
LIBAN,Líban
HEZBOLA,Hezbollah
VAR,VAR
POLICIALJUDI,Policial i judicial
FEMENISMEGEN,Feminisme i gènere
EXPLICATIUS,Explicatius
SOCIETAT,Societat
CULTURA,Cultura
MEDICLIMA,Medi ambient i crisi climàtica
CIENCIATECNO,Ciència i tecnologia
DESIGUPOBRE,Desigualtat i pobresa
ZENIT,Zenit
POLITICA,Política
INTERNACIONA,Internacional
UNIVERS3CAT,Univers 3Cat
FEINA,Feina
VERIFICACIO,3CatInfo Verifica
ECOIFINANCES,Economia
LATARDACR,La tarda de Catalunya Ràdio
ARANES,Aranès
ECOIFINANCES,Economia i finances
CRIA,Criança
ARRAN,Arran
METEOCURIOS,Curiositats meteorològiques
ELFORASTER,El foraster
